,Country,Code,Year,Gini coefficient
0,Albania,ALB,2002,0.3173897983352209
1,Albania,ALB,2005,0.3059565572811916
2,Albania,ALB,2008,0.2998467042234796
3,Albania,ALB,2012,0.2896048455859209
4,Albania,ALB,2014,0.3459889646678993
5,Albania,ALB,2015,0.3275373177638622
6,Albania,ALB,2016,0.3373629871613542
7,Albania,ALB,2017,0.330556627406811
8,Albania,ALB,2018,0.3014828173658325
9,Albania,ALB,2019,0.3077173903513968
10,Algeria,DZA,2011,0.2761573091623685
11,Angola,AGO,2000,0.5195689249112876
12,Angola,AGO,2008,0.427155149878257
13,Angola,AGO,2018,0.5127211119824917
14,Argentina - urban,,2000,0.5106395767594252
15,Argentina - urban,,2001,0.5334310600620975
16,Argentina - urban,,2002,0.537937583377964
17,Argentina - urban,,2003,0.5089715698379785
18,Argentina - urban,,2004,0.4837703458741335
19,Argentina - urban,,2005,0.4770735509214674
20,Argentina - urban,,2006,0.4634607996716354
21,Argentina - urban,,2007,0.4617355631333476
22,Argentina - urban,,2008,0.4487679026711823
23,Argentina - urban,,2009,0.4365419704989163
24,Argentina - urban,,2010,0.4358321825728346
25,Argentina - urban,,2011,0.4264528063979222
26,Argentina - urban,,2012,0.4132619793924651
27,Argentina - urban,,2013,0.4094544219759074
28,Argentina - urban,,2014,0.416327898548159
29,Argentina - urban,,2016,0.4203252890095214
30,Argentina - urban,,2017,0.4113448843872836
31,Argentina - urban,,2018,0.413424983747329
32,Argentina - urban,,2019,0.4290585043967284
33,Armenia,ARM,2001,0.3536435897259906
34,Armenia,ARM,2002,0.3477967434362492
35,Armenia,ARM,2003,0.3302808687042926
36,Armenia,ARM,2004,0.3750563253607404
37,Armenia,ARM,2005,0.3599235344377731
38,Armenia,ARM,2006,0.2970998476614349
39,Armenia,ARM,2007,0.312260582589433
40,Armenia,ARM,2008,0.2918814172710552
41,Armenia,ARM,2009,0.2801587740164225
42,Armenia,ARM,2010,0.299925823432341
43,Armenia,ARM,2011,0.2935294582000862
44,Armenia,ARM,2012,0.2960226142586566
45,Armenia,ARM,2013,0.3057966315233129
46,Armenia,ARM,2014,0.3148329065365822
47,Armenia,ARM,2015,0.3235677179616022
48,Armenia,ARM,2016,0.3254794835583837
49,Armenia,ARM,2017,0.3362183736332037
50,Armenia,ARM,2018,0.344334976829172
51,Armenia,ARM,2019,0.2987820712565888
52,Australia,AUS,2001,0.3346479770968015
53,Australia,AUS,2003,0.3350051608424517
54,Australia,AUS,2004,0.3305740947224962
55,Australia,AUS,2008,0.3542850828048216
56,Australia,AUS,2010,0.3465672759564665
57,Australia,AUS,2014,0.3439943141661626
